Aplha	Beta	Gamma	mAP@20	avgNDCG@20
1	1	0.5	0.373	0.515
queryID	AvgPrecision@20	NDCG@20
126	0.515	0.572
127	0.519	0.633
128	0.335	0.609
129	0.585	0.654
130	0.359	0.53
131	0.489	0.594
132	0.152	0.358
133	0.685	0.686
134	0.185	0.42
135	0.000	0.000
136	0.631	0.692
137	0.311	0.531
138	0.077	0.298
139	0.536	0.616
140	0.657	0.727
141	0.199	0.475
142	0.554	0.722
143	0.69	0.693
144	0.493	0.651
145	0.349	0.493
146	0.000	0.000
147	0.316	0.504
148	0.69	0.739
149	0.29	0.54
150	0.432	0.559
151	0.69	0.717
152	0.608	0.723
153	0.6	0.702
154	0.105	0.631
155	0.434	0.612
156	0.525	0.666
157	0.13	0.376
158	0.038	0.301
159	0.318	0.498
160	0.084	0.322
161	0.293	0.465
162	0.69	0.708
163	0.585	0.625
164	0.528	0.682
165	0.197	0.455
166	0.005	0.235
167	0.69	0.686
168	0.652	0.666
169	0.000	0.000
170	0.261	0.538
171	0.000	0.000
172	0.557	0.711
173	0.014	0.25
174	0.002	0.231
175	0.609	0.674
